Sample	contamination_score	contamination_p_value	Contamination	median_insert_size	median_exon_coverage_count	pct_exon_50x_perc	median_insert_size_guidelines	median_exon_coverage_guidelines	pct_exon_50x_guidelines	unstable_msi_sites	unstable_msi_sites_guidelines	coverage_mad_count	median_bin_count_cnv_target_count	coverage_mad_guidelines	median_bin_count_cnv_target_guidelines	rna_median_cv__gene_500x_perc	rna_total_on_target_reads_count	rna_median_insert_size_count	rna_median_cv__gene_500x_guidelines	rna_total_on_target_reads_guidelines	rna_median_insert_size_guidelines	total_pf_reads	mean_family_size	median_target_coverage	pct_chimeric_reads	pct_exon_100x	pct_read_enrichment	pct_usable_umi_reads	mean_target_coverage	pct_aligned_reads	pct_contamination_est	pct_pf_uq_reads	pct_target_04x_mean	pct_target_100x	pct_target_250x	rna_pct_chimeric_reads	rna_pct_on_target_reads	rna_scaled_median_gene_coverage	rna_total_pf_reads	PCT_PF_READS_perc	PCT_PF_READS_guidelines	PCT_Q30_R1_perc	PCT_Q30_R1_guidelines	PCT_Q30_R2_perc	PCT_Q30_R2_guidelines	run
44AP_DNA	1806	0.283	1	107	435	99.4	1	1	1	120	1	0.182	5.8	1	1	NA	NA	NA	NA	NA	NA	119236838	3.9	434.0	4.07	98.8	68.2	99.9	446.1	96.2	4.9	100.0	96.5	98.4	90.4	NA	NA	NA	NA	81.4	1	92.9	1	91.3	1	210729_A01423_0009_AH33WGDRXY
45AP_DNA	869	1.0	1	114	1118	99.7	1	1	1	123	1	0.119	14.5	1	1	NA	NA	NA	NA	NA	NA	244270708	3.6	1086.0	2.11	99.5	75.6	99.9	1124.5	99.1	0.4	100.0	96.6	99.1	98.2	NA	NA	NA	NA	81.4	1	92.9	1	91.3	1	210729_A01423_0009_AH33WGDRXY
BB9	5031	0.044	1	96	537	99.3	1	1	1	119	1	0.151	7.8	1	1	53.23	28226195	106	1	1	1	102111904	2.6	528.0	0.47	98.6	76.3	99.9	553.7	94.9	4.0	100.0	94.9	97.7	93.7	0.15	94.1	5862.0	29997210	81.4	1	92.9	1	91.3	1	210729_A01423_0009_AH33WGDRXY
MD13	291	1.0	1	105	909	99.4	1	1	1	123	1	0.07	12.4	1	1	57.71	28416620	101	1	1	1	173917714	2.9	893.0	0.87	99.1	72.4	99.9	888.7	96.6	0.3	100.0	96.1	99.0	97.6	0.20	94.7	5603.0	29994360	81.4	1	92.9	1	91.3	1	210729_A01423_0009_AH33WGDRXY
PR15	1340	0.797	1	101	865	99.6	1	1	1	122	1	0.143	12.1	1	1	57.13	28226263	112	1	1	1	221343590	3.9	815.0	0.83	99.4	77.4	99.9	899.1	98.5	2.0	100.0	96.0	99.0	97.7	0.21	94.1	5832.4	30005240	81.4	1	92.9	1	91.3	1	210729_A01423_0009_AH33WGDRXY
QA12	3025	0.035	1	104	700	99.5	1	1	1	122	1	0.165	10.0	1	1	49.73	28043367	119	1	1	1	212862018	4.8	692.0	0.63	99.1	78.3	99.9	701.2	98.6	3.8	100.0	96.1	98.7	96.7	0.18	93.5	6068.2	29997896	81.4	1	92.9	1	91.3	1	210729_A01423_0009_AH33WGDRXY
11AP	5162	0.227	0	116	394	99.1	1	1	1	112	1	0.141	5.5	1	1	46.15	28186696	109	1	1	1	202830448	7.2	384.0	0.47	98.3	68.3	99.9	403.8	96.3	4.7	100.0	96.2	97.8	88.5	0.19	94.0	6451.8	29993112	89.0	1	94.4	1	94.8	1	211022_A01423_0010_AHGYFYDRXY
19AP_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.6	16439995	86	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.21	59.2	2279.5	27783028	89.0	1	94.4	1	94.8	1	211022_A01423_0010_AHGYFYDRXY
31AP_DNA	376	1.0	1	105	1083	99.4	1	1	1	124	1	0.122	15.0	1	1	NA	NA	NA	NA	NA	NA	249601818	3.3	1070.0	0.82	99.0	69.2	99.9	1058.8	97.2	0.7	100.0	93.0	98.8	96.9	NA	NA	NA	NA	89.0	1	94.4	1	94.8	1	211022_A01423_0010_AHGYFYDRXY
33AP_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.86	28764288	114	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17	95.9	5616.3	30004708	89.0	1	94.4	1	94.8	1	211022_A01423_0010_AHGYFYDRXY
40AP_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.86	27814237	102	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.20	92.7	5809.8	30001966	89.0	1	94.4	1	94.8	1	211022_A01423_0010_AHGYFYDRXY
47AP_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.23	27893530	106	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.15	93.0	5758.7	30002904	89.0	1	94.4	1	94.8	1	211022_A01423_0010_AHGYFYDRXY
8AP_DNA	211	1.0	1	116	1158	98.8	1	1	1	117	1	0.142	12.4	1	1	NA	NA	NA	NA	NA	NA	223150464	2.6	944.0	1.46	92.5	65.8	99.9	1261.4	97.1	0.3	100.0	64.3	92.1	77.4	NA	NA	NA	NA	89.0	1	94.4	1	94.8	1	211022_A01423_0010_AHGYFYDRXY
BM-1_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65.22	24641357	76	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17	84.2	4661.8	29278672	89.0	1	94.4	1	94.8	1	211022_A01423_0010_AHGYFYDRXY
LungNew-1_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	86.1	13581238	124	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18	80.3	2581.8	16914100	89.0	1	94.4	1	94.8	1	211022_A01423_0010_AHGYFYDRXY
MR-5_DNA	6119	0.006	1	115	1127	99.6	1	1	1	124	1	0.176	15.7	1	1	NA	NA	NA	NA	NA	NA	246704564	2.9	1095.0	2.09	99.4	61.6	99.9	1142.5	97.0	8.0	100.0	96.8	99.1	98.2	NA	NA	NA	NA	89.0	1	94.4	1	94.8	1	211022_A01423_0010_AHGYFYDRXY
RE-7_DNA	5040	0.0	1	99	778	99.5	1	1	1	124	1	0.173	11.9	1	1	NA	NA	NA	NA	NA	NA	252807348	3.5	763.0	1.23	99.3	60.3	99.9	805.8	92.8	7.6	100.0	96.5	98.9	97.4	NA	NA	NA	NA	89.0	1	94.4	1	94.8	1	211022_A01423_0010_AHGYFYDRXY
RLC-2_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	74.19	17587866	80	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.14	85.9	3273.3	20474320	89.0	1	94.4	1	94.8	1	211022_A01423_0010_AHGYFYDRXY
S1278_DNA	4071	0.006	1	105	817	99.3	1	1	1	118	1	0.173	12.1	1	1	NA	NA	NA	NA	NA	NA	215878654	3.7	792.0	0.52	98.8	69.3	99.9	795.5	96.6	7.2	100.0	95.4	98.3	96.4	NA	NA	NA	NA	89.0	1	94.4	1	94.8	1	211022_A01423_0010_AHGYFYDRXY
S1381_DNA	1990	0.088	1	114	686	99.2	1	1	1	115	1	0.153	9.6	1	1	NA	NA	NA	NA	NA	NA	208778930	4.0	684.0	0.41	98.5	67.4	99.9	681.7	89.8	5.6	100.0	95.0	98.0	95.5	NA	NA	NA	NA	89.0	1	94.4	1	94.8	1	211022_A01423_0010_AHGYFYDRXY
S1396_DNA	2569	0.039	1	116	843	99.3	1	1	1	120	1	0.179	11.6	1	1	NA	NA	NA	NA	NA	NA	212867808	3.1	816.0	0.33	98.8	63.3	99.9	834.4	87.9	4.7	100.0	95.5	98.4	96.7	NA	NA	NA	NA	89.0	1	94.4	1	94.8	1	211022_A01423_0010_AHGYFYDRXY
78AP_DNA	964	0.996	1	92	119	95.4	1	0	1	10	0	0.112	1.8	1	1	NA	NA	NA	NA	NA	NA	90469510	9.3	117.0	0.92	69.3	71.3	99.9	117.7	89.4	10.6	100.0	94.9	67.0	0.4	NA	NA	NA	NA	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
79AP_DNA	193	1.0	1	84	314	98.0	1	1	1	27	0	0.151	4.9	1	1	NA	NA	NA	NA	NA	NA	99496446	3.6	305.0	0.71	94.7	72.4	99.9	316.6	88.6	1.5	100.0	90.2	93.3	64.9	NA	NA	NA	NA	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
80AP_DNA	2569	0.009	1	78	250	98.3	1	1	1	50	1	0.148	4.2	1	1	NA	NA	NA	NA	NA	NA	116692718	5.2	251.0	2.40	96.1	69.9	99.9	253.3	96.5	3.0	100.0	95.0	95.1	50.7	NA	NA	NA	NA	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
82AP_DNA	7416	0.016	1	100	705	99.3	1	1	1	81	1	0.232	9.9	0	1	NA	NA	NA	NA	NA	NA	121963406	2.4	694.0	0.67	98.7	74.6	99.9	731.2	95.8	10.1	100.0	92.2	97.7	94.1	NA	NA	NA	NA	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
84AP_DNA	429	1.0	1	91	239	98.2	1	1	1	52	1	0.191	3.6	1	1	NA	NA	NA	NA	NA	NA	100280992	5.3	239.0	2.40	94.4	70.8	99.9	250.8	96.8	1.1	100.0	93.0	93.2	46.3	NA	NA	NA	NA	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
87AP_DNA	342	1.0	1	81	289	98.3	1	1	1	16	0	0.156	4.5	1	1	NA	NA	NA	NA	NA	NA	105884158	3.8	277.0	0.51	94.8	73.3	99.9	284.1	79.5	1.7	100.0	91.3	93.0	58.8	NA	NA	NA	NA	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
88AP_DNA	110	1.0	1	89	380	98.7	1	1	1	48	1	0.149	5.7	1	1	NA	NA	NA	NA	NA	NA	116374278	3.5	372.0	2.93	97.1	64.8	99.9	376.4	91.4	0.6	100.0	93.0	96.1	80.2	NA	NA	NA	NA	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
89AP_DNA	232	1.0	1	73	112	90.9	1	0	1	2	0	0.157	1.9	1	1	NA	NA	NA	NA	NA	NA	86533060	6.8	109.0	1.68	60.4	66.7	99.9	112.1	81.3	2.0	100.0	91.0	58.0	0.9	NA	NA	NA	NA	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
NR_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
ORCIOLO_DNA	199	1.0	1	136	713	99.0	1	1	1	123	1	0.153	8.9	1	1	NA	NA	NA	NA	NA	NA	100518056	2.5	716.0	0.93	98.6	74.0	99.9	725.6	98.2	0.7	100.0	95.7	98.2	96.3	NA	NA	NA	NA	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
RA_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	117.08	11100738	84	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07	90.6	1231.1	12252970	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
RLC_FFT_DNA	406	1.0	1	79	473	98.8	1	1	1	53	1	0.212	7.9	0	1	NA	NA	NA	NA	NA	NA	124655656	3.1	447.0	0.69	97.6	80.3	99.9	513.5	94.8	0.6	100.0	88.9	96.3	83.6	NA	NA	NA	NA	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
S0490_DNA_FFT	3766	0.0	1	99	403	98.5	1	1	1	45	1	0.188	5.7	1	1	NA	NA	NA	NA	NA	NA	107124676	2.9	393.0	0.08	96.7	69.6	99.9	410.9	78.3	19.4	100.0	90.0	95.2	78.6	NA	NA	NA	NA	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
S0705_DNA_FFT	2838	0.057	1	87	99	87.0	1	0	0	4	0	0.206	1.5	1	1	NA	NA	NA	NA	NA	NA	66974862	8.2	96.0	0.06	49.6	82.8	99.9	110.4	90.9	25.7	100.0	87.7	47.1	3.0	NA	NA	NA	NA	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
S0733_DNA_FFT	98	1.0	1	85	202	95.3	1	1	1	12	0	0.321	3.2	0	1	NA	NA	NA	NA	NA	NA	125811134	2.8	186.0	1.30	79.5	66.5	99.9	312.4	57.8	1.0	100.0	67.1	76.0	39.7	NA	NA	NA	NA	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
S0793_DNA_FFT	72	1.0	1	108	598	99.0	1	1	1	62	1	0.288	8.3	0	1	NA	NA	NA	NA	NA	NA	109061152	2.1	547.0	0.61	97.0	71.4	99.9	698.8	87.3	0.4	100.0	73.0	95.3	76.6	NA	NA	NA	NA	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
S0816_DNA_FFT	98	1.0	1	83	217	96.5	1	1	1	9	0	0.161	3.4	1	1	NA	NA	NA	NA	NA	NA	115040836	3.7	207.0	0.05	88.9	69.8	99.9	213.5	55.4	1.8	100.0	89.2	86.1	34.7	NA	NA	NA	NA	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
S1366_DNA_FFT	4701	0.0	1	149	1137	99.0	1	1	1	115	1	0.29	13.6	0	1	NA	NA	NA	NA	NA	NA	108484138	1.8	1074.0	0.20	98.4	74.8	99.8	1182.3	97.7	7.9	100.0	79.8	97.9	92.9	NA	NA	NA	NA	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
U1_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57.86	26094287	104	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.23	92.7	4682.6	28154190	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
U10_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.45	28208477	106	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.23	94.0	5467.6	30004060	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
U11_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.34	28221437	106	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.22	94.1	6049.4	29996882	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
U12_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46.67	28557749	112	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.20	95.2	5483.8	29997352	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
U13_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53.14	25163043	94	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.16	91.9	5003.8	27377258	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
U14_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46.54	28936582	109	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.20	96.5	6533.6	30000580	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
U2_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78.94	17649034	81	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17	89.2	3035.5	19785940	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
U3_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.27	26986909	99	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	92.9	4288.7	29049080	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
U4_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	77.91	18716594	82	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.16	87.2	2791.8	21453664	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
U5_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61.1	24506735	96	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.29	90.2	4695.1	27180616	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
U6_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	74.66	11392932	82	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.16	84.7	1733.5	13453430	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
U7_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.53	23362195	97	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.24	93.4	4602.7	25003030	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
U8_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70.8	18291173	89	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.21	89.9	3044.0	20347102	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
U9_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.29	19490053	84	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18	93.0	2238.4	20962808	86.2	1	93.7	1	93.5	1	211111_A01423_0011_AHH2Y2DRXY
100_BM	4519	0.0	1	126	486	98.7	1	1	1	121	1	0.162	6.4	1	1	63.01	6636386	103	1	0	1	111786588	3.7	468.0	0.43	97.9	74.8	99.9	514.1	96.1	5.2	100.0	93.0	97.5	87.0	0.17	87.3	1296.2	7605886	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
101_BM	6706	0.0	1	102	266	98.5	1	1	1	117	1	0.205	3.9	1	1	83.46	4548044	93	1	0	1	69442526	3.7	257.0	0.52	96.6	77.4	99.9	284.6	95.2	7.3	100.0	94.6	95.8	52.6	0.15	88.8	692.1	5122224	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
102_BM	144	1.0	1	106	471	99.0	1	1	1	122	1	0.107	6.4	1	1	60.29	21306928	106	1	1	1	89066612	3.0	459.0	0.61	98.3	77.2	99.9	468.8	97.0	0.5	100.0	95.4	98.0	91.6	0.14	94.4	4260.4	22564914	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
103_BM_DNA	6657	0.007	1	121	815	99.1	1	1	1	124	1	0.206	11.0	1	1	NA	NA	NA	NA	NA	NA	105536918	2.2	784.0	0.77	98.4	74.0	99.9	823.1	98.1	5.3	100.0	92.8	98.1	95.1	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
104_BM_DNA	1279	0.966	1	102	260	98.5	1	1	1	90	1	0.161	3.5	1	1	NA	NA	NA	NA	NA	NA	40054096	1.6	248.0	1.82	96.6	57.4	99.8	271.3	88.0	2.7	100.0	94.2	95.0	49.3	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
105_BM_DNA	2563	0.211	1	116	547	98.8	1	1	1	124	1	0.182	7.7	1	1	NA	NA	NA	NA	NA	NA	115060310	3.3	546.0	0.68	98.0	76.5	99.9	575.5	98.3	3.1	100.0	94.2	97.7	93.3	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
106_BM_DNA	5720	0.001	1	105	652	99.1	1	1	1	124	1	0.211	9.2	0	1	NA	NA	NA	NA	NA	NA	128458332	2.9	632.0	0.73	98.4	72.2	99.9	660.9	96.6	4.9	100.0	94.6	98.0	95.1	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
108_BM_DNA	2021	0.348	1	120	892	98.8	1	1	1	121	1	0.183	11.2	1	1	NA	NA	NA	NA	NA	NA	100889376	1.7	879.0	0.45	98.1	64.1	99.8	893.5	95.7	2.7	100.0	93.0	97.8	95.3	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
109_BM_DNA	3437	0.193	0	102	245	96.2	1	1	1	89	1	0.211	3.5	0	1	NA	NA	NA	NA	NA	NA	37352854	1.8	236.0	0.54	90.6	65.5	99.8	253.4	92.3	7.4	100.0	89.1	89.5	45.4	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
112_BM_DNA	55	1.0	1	125	803	99.1	1	1	1	123	1	0.106	10.0	1	1	NA	NA	NA	NA	NA	NA	93314756	2.1	794.0	0.81	98.6	74.4	99.9	784.3	98.5	0.3	100.0	95.4	98.2	96.3	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
52_AP_DNA	90	1.0	1	139	524	99.2	1	1	1	122	1	0.158	6.5	1	1	NA	NA	NA	NA	NA	NA	106249862	2.4	522.0	0.48	98.6	51.7	99.8	533.1	94.1	0.4	100.0	95.8	98.2	94.4	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
56_AP_DNA	2629	0.999	1	135	709	99.0	1	1	1	122	1	0.174	8.8	1	1	NA	NA	NA	NA	NA	NA	106935932	1.5	702.0	0.97	98.5	43.7	99.8	698.2	88.6	1.5	100.0	94.1	98.1	95.3	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
